order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
13,458,Kimberly Fields,237,Smartwatch,Electronics,Wallet,2,1406.01,2021-05-05 19:52,Australia,Melbourne,www.flipkart.com,26032,N,Invalid CVV
14,363,Brian Crawford,783,Eraser,Stationery,Internet Banking,11,997.55,2023-02-03 17:03,South Africa,Durban,www.ebay.in,70768,N,Insufficient funds
15,660,Daniel Harvey,665,Watch,Accessories,UPI,14,3077.44,2022-01-01 18:15,USA,Los Angeles,www.tatacliq.com,73023,N,Details not found
16,615,James Jackson,447,Shirt,Clothing,UPI,11,811.92,2023-04-30 21:07,Australia,Melbourne,www.flipkart.com,89199,Y,Details not found
17,607,Meghan Kennedy,260,Pen,Stationery,UPI,5,2022.36,2023-02-03 13:13,South Africa,Cape Town,www.flipkart.com,16145,Y,Details not found
18,438,Sarah Wheeler,756,Router,Electronics,Wallet,10,409.54,2021-08-19 06:31,India,Chennai,www.tatacliq.com,73962,Y,Details not found
19,409,Shawn Garcia,810,Wallet,Accessories,Internet Banking,4,372.4,2023-02-18 09:34,Australia,Sydney,www.ebay.in,87424,N,Invalid CVV
20,318,Eric Washington,521,Glue Stick,Stationery,Card,1,3494.69,2021-01-06 16:57,India,Bangalore,www.tatacliq.com,64243,Y,Details not found
21,116,Stacy Harris,555,Highlighter,Stationery,Internet Banking,6,202.5,2021-06-24 16:04,India,Chennai,www.tatacliq.com,94865,N,Details not found
22,919,Mrs. Melissa Ward,222,Cookbook,Books,Wallet,12,765.28,2021-09-14 06:11,India,Bangalore,www.amazon.com,19035,Y,Details not found
23,887,Renee Hudson,461,Smartwatch,Electronics,Wallet,6,4729.6,2023-05-05 09:06,UK,Birmingham,www.flipkart.com,45568,N,Invalid CVV
24,516,Nancy Bates,379,Scarf,Accessories,Internet Banking,4,3099.98,2022-02-09 19:53,UK,London,www.ebay.in,72988,N,Insufficient funds
25,900,Emily Gilbert,958,Sweater,Clothing,Internet Banking,9,2106.54,2023-08-12 06:41,South Africa,Durban,www.amazon.com,88532,Y,Details not found
26,162,Elizabeth Beltran,782,Pants,Clothing,Card,2,3283.28,2022-09-03 14:47,Australia,Sydney,www.tatacliq.com,19780,N,Invalid CVV
27,757,David Barnett,606,Router,Electronics,Card,18,3942.36,2021-05-26 00:01,Australia,Sydney,www.tatacliq.com,83328,Y,Details not found
28,842,April Moore,783,Desk Lamp,Accessories,Wallet,14,3637.67,2022-01-17 22:44,South Africa,Durban,www.amazon.com,62988,N,Insufficient funds
29,324,Anthony Mcdonald,704,Camera,Electronics,Card,9,4326.51,2022-12-23 08:46,Australia,Sydney,www.amazon.com,65754,Y,Details not found
30,124,Nicole Perez DDS,853,Self-Help,Books,Internet Banking,14,3582.65,2021-12-03 02:53,South Africa,Cape Town,www.amazon.com,53690,Y,Details not found
31,260,Steven Carter,772,Watch,Accessories,Card,6,4710.04,2021-01-20 15:56,India,Bangalore,www.ebay.in,90180,Y,Details not found
32,736,David Davis,726,T-shirt,Clothing,Wallet,11,3060.65,2023-07-08 02:57,USA,New York,www.amazon.com,50135,Y,Details not found
33,910,Leah Butler,492,Ruler,Stationery,Wallet,20,1972.01,2021-11-09 06:13,India,Bangalore,www.tatacliq.com,15906,N,Details not found
34,292,Shirley Delgado,600,Jacket,Clothing,Card,17,1458.82,2023-08-16 15:59,India,Mumbai,www.amazon.com,50893,N,Insufficient funds
35,173,Trevor Martin,439,Eraser,Stationery,UPI,14,4908.23,2022-04-18 21:46,USA,New York,www.amazon.com,88789,Y,Details not found
36,784,Laura Baker,520,Headphones,Electronics,Card,2,203.27,2023-05-27 19:13,India,Bangalore,www.ebay.in,35478,Y,Details not found
37,427,Matthew Bartlett,741,Thriller Story,Books,Internet Banking,18,4367.11,2021-12-13 07:40,USA,New York,www.tatacliq.com,40415,N,Invalid CVV
38,801,Stephanie Ferguson,207,Jeans,Clothing,Wallet,17,4508.15,2021-04-15 09:27,UK,London,www.tatacliq.com,18115,N,Details not found
39,676,Brittany Lee,454,Pants,Clothing,Internet Banking,7,3835.17,2022-12-17 21:06,South Africa,Durban,www.flipkart.com,59119,N,Card expired
40,955,Julie Mclaughlin,596,Smartphone,Electronics,Wallet,3,3622.17,2022-06-21 17:03,USA,New York,www.amazon.com,88195,N,Details not found
41,329,Joseph Daniel,825,Comics,Books,Internet Banking,11,4215.67,2022-02-24 11:14,India,Bangalore,www.ebay.in,29942,Y,Details not found
42,407,Stephanie Villanueva,262,Book,Books,Card,14,1763.03,2023-10-03 16:41,India,Bangalore,www.tatacliq.com,79748,N,Details not found
43,875,Dylan Thomas,877,Travel Guide,Books,Internet Banking,6,1530.0,2023-01-14 01:17,USA,Los Angeles,www.ebay.in,34840,N,Insufficient funds
44,282,William Hampton,481,Smartphone,Electronics,Wallet,14,4491.88,2021-07-12 22:24,India,Chennai,www.amazon.com,68785,Y,Details not found
45,375,Mr. Jonathan Craig,979,Belt,Accessories,Card,1,1881.6,2021-08-11 13:44,Australia,Sydney,www.ebay.in,45828,Y,Details not found
46,982,Craig Bailey,500,Bluetooth Speaker,Electronics,UPI,10,3631.41,2023-12-28 05:21,India,Bangalore,www.ebay.in,33036,N,Details not found
47,949,Christina Arnold,849,Biography,Books,UPI,8,3385.79,2022-10-02 02:02,India,Bangalore,www.tatacliq.com,44529,Y,Details not found
48,605,Jon Phillips,315,Marker,Stationery,Card,17,2679.1,2022-08-20 00:03,India,Bangalore,www.ebay.in,37843,N,Insufficient funds
49,179,Todd Caldwell,667,Bluetooth Speaker,Electronics,UPI,6,2791.5,2022-04-30 12:14,UK,Manchester,www.flipkart.com,90714,N,Card expired
50,392,Mr. John Smith,572,Jacket,Clothing,Card,7,2551.94,2021-03-18 21:10,USA,Los Angeles,www.amazon.com,34220,N,Details not found
51,148,Christopher Stevens,461,Eraser,Stationery,Wallet,12,1961.02,2023-09-29 14:39,USA,Los Angeles,www.flipkart.com,47750,N,Insufficient funds
52,845,Debra Proctor,229,Headphones,Electronics,Card,16,3157.0,2023-09-13 07:23,Australia,Sydney,www.ebay.in,94530,N,Insufficient funds
53,687,William Bell,598,Eraser,Stationery,Card,20,4206.45,2022-10-01 18:49,Australia,Melbourne,www.tatacliq.com,85809,N,Details not found
54,832,Victoria Fernandez,251,Smartphone,Electronics,Internet Banking,16,1112.06,2022-07-21 12:30,Australia,Sydney,www.flipkart.com,98714,N,Card expired
55,814,Karen Garner,671,Desk Lamp,Accessories,Wallet,10,2014.05,2021-11-20 19:26,USA,New York,www.flipkart.com,62962,N,Details not found
56,495,Cameron Campbell,525,Eraser,Stationery,Wallet,7,486.2,2022-08-06 12:28,South Africa,Cape Town,www.flipkart.com,31855,N,Insufficient funds
57,873,Tracy Lloyd,328,Biography,Books,UPI,9,3711.05,2023-12-17 13:37,South Africa,Durban,www.ebay.in,91712,Y,Details not found
58,141,Timothy Rojas,745,Children's Book,Books,Wallet,6,1463.98,2022-10-08 14:16,India,Mumbai,www.tatacliq.com,46951,Y,Details not found
59,705,Peter Vance,845,Dress,Clothing,Internet Banking,12,740.99,2021-09-11 13:23,Australia,Melbourne,www.ebay.in,49432,Y,Details not found
60,683,Kristina Williams,646,Watch,Accessories,Internet Banking,9,1957.74,2021-03-24 15:40,Australia,Melbourne,www.flipkart.com,56212,N,Details not found
61,908,Thomas Young,879,Children's Book,Books,Card,20,3811.38,2021-03-19 14:22,South Africa,Cape Town,www.tatacliq.com,71719,N,Insufficient funds
62,187,Brad Garcia,502,Jeans,Clothing,UPI,2,2775.47,2022-11-20 13:21,USA,Chicago,www.flipkart.com,37421,Y,Details not found
63,773,Ashley Baker,701,Bluetooth Speaker,Electronics,Wallet,8,3510.5,2022-06-07 09:41,UK,Birmingham,www.tatacliq.com,17010,Y,Details not found
64,404,Donna Garrett,426,Dress,Clothing,Card,7,1925.96,2021-01-19 04:30,UK,Manchester,www.ebay.in,93370,Y,Details not found
65,282,Joseph Thompson,524,Desk Lamp,Accessories,Card,4,4471.0,2023-12-13 18:03,South Africa,Cape Town,www.tatacliq.com,12189,N,Insufficient funds
66,186,Danielle Gregory,329,Self-Help,Books,Internet Banking,2,318.89,2023-05-02 03:59,USA,New York,www.ebay.in,22494,Y,Details not found
67,336,Rachel Reilly,462,Stapler,Stationery,Internet Banking,4,2007.32,2021-01-16 14:54,UK,Manchester,www.flipkart.com,28863,Y,Details not found
68,168,Henry Callahan,798,Science Fiction,Books,Internet Banking,20,3175.49,2023-10-26 20:01,USA,New York,www.flipkart.com,91000,Y,Details not found
69,867,Christine Johnson,709,Belt,Accessories,Wallet,17,2586.76,2021-03-20 09:09,Australia,Brisbane,www.tatacliq.com,15868,Y,Details not found
70,994,Deborah Alvarez,657,Skirt,Clothing,UPI,20,75.75,2021-10-14 17:47,South Africa,Durban,www.flipkart.com,47433,Y,Details not found
71,634,Clarence Hall,301,Marker,Stationery,Wallet,20,2533.12,2022-07-02 14:15,South Africa,Johannesburg,www.ebay.in,53277,Y,Details not found
72,840,Brooke Cox,806,Scarf,Accessories,Wallet,6,3841.46,2021-02-13 20:33,South Africa,Durban,www.tatacliq.com,61909,N,Insufficient funds
73,440,Laura Anderson,642,Water Bottle,Accessories,Internet Banking,18,3751.16,2022-01-30 11:50,South Africa,Durban,www.ebay.in,71999,N,Insufficient funds
74,518,Philip Tucker,786,Pencil,Stationery,UPI,1,630.54,2022-09-23 01:16,UK,Birmingham,www.flipkart.com,80874,Y,Details not found
75,778,Joanna Pearson,536,Camera,Electronics,Wallet,18,1894.74,2023-10-06 00:43,Australia,Sydney,www.flipkart.com,84811,N,Invalid CVV
76,798,Kristi Shea,494,Monitor,Electronics,Internet Banking,2,3816.99,2023-09-01 08:01,South Africa,Cape Town,www.tatacliq.com,11930,Y,Details not found
77,109,Nicholas Moore,880,Notebook,Stationery,Card,11,3125.11,2022-10-21 03:04,Australia,Melbourne,www.amazon.com,36756,Y,Details not found
78,717,Diana Allen,544,Wallet,Accessories,Wallet,15,1121.68,2021-08-26 09:03,UK,Birmingham,www.ebay.in,69211,Y,Details not found
79,651,Luke Nolan,446,Sweater,Clothing,UPI,9,1101.9,2021-11-10 16:55,Australia,Brisbane,www.tatacliq.com,12184,N,Insufficient funds
80,567,Dustin Fuentes,846,Desk Lamp,Accessories,UPI,3,387.92,2021-12-03 05:30,USA,Los Angeles,www.ebay.in,29983,N,Details not found
81,249,Scott Obrien,895,Desk Lamp,Accessories,UPI,11,1366.51,2021-02-23 05:55,Australia,Brisbane,www.flipkart.com,24089,N,Insufficient funds
82,290,Amy Turner,569,Water Bottle,Accessories,Card,18,4415.19,2021-04-30 04:35,South Africa,Durban,www.ebay.in,64548,N,Invalid CVV
83,499,Nicholas Russo,742,Dress,Clothing,Wallet,1,1091.51,2023-04-25 02:26,USA,Chicago,www.ebay.in,97404,N,Insufficient funds
84,610,Sara Miranda,228,Camera,Electronics,Card,18,3078.51,2021-04-11 07:42,USA,Los Angeles,www.flipkart.com,53726,Y,Details not found
85,169,Sean Reyes,833,Monitor,Electronics,UPI,9,4240.9,2022-07-01 22:35,India,Bangalore,www.ebay.in,56871,Y,Details not found
86,687,Meghan Moss,813,Highlighter,Stationery,Internet Banking,1,938.38,2023-02-25 21:11,South Africa,Cape Town,www.tatacliq.com,30732,Y,Details not found
87,107,Rita Burton,322,Skirt,Clothing,UPI,8,3384.73,2021-09-08 05:00,UK,Manchester,www.amazon.com,51344,Y,Details not found
88,528,Jacqueline Wells,792,Backpack,Accessories,UPI,9,3747.22,2022-06-25 10:12,UK,Manchester,www.amazon.com,63152,N,Details not found
89,245,Alexandria Hunter,911,Dress,Clothing,Wallet,7,937.11,2021-03-30 05:19,Australia,Brisbane,www.tatacliq.com,14846,Y,Details not found
90,200,Tyler Greene,312,Self-Help,Books,Internet Banking,2,368.01,2022-02-10 10:56,South Africa,Cape Town,www.flipkart.com,21209,N,Invalid CVV
91,668,Brandon Gutierrez,856,Backpack,Accessories,Internet Banking,3,1984.69,2022-12-04 23:58,India,Chennai,www.tatacliq.com,38771,Y,Details not found
92,181,Karen Walker,567,Marker,Stationery,Internet Banking,10,3880.28,2022-04-12 04:40,UK,Manchester,www.ebay.in,15347,N,Invalid CVV
93,215,Brenda Coleman,274,Pants,Clothing,UPI,12,1136.83,2021-03-27 14:58,South Africa,Johannesburg,www.flipkart.com,92105,Y,Details not found
94,550,Jason Adams,942,Marker,Stationery,UPI,1,2208.26,2021-09-17 22:42,Australia,Melbourne,www.flipkart.com,91922,N,Card expired
95,731,Angelica Edwards,754,Cookbook,Books,UPI,20,2769.55,2021-01-22 01:39,South Africa,Cape Town,www.tatacliq.com,18382,Y,Details not found
96,736,Gabrielle Howard,948,Smartwatch,Electronics,Card,10,3514.99,2021-06-28 02:09,Australia,Melbourne,www.amazon.com,14727,N,Card expired
97,551,Evan Salazar,465,Monitor,Electronics,Internet Banking,14,786.27,2022-09-18 11:57,USA,Los Angeles,www.amazon.com,38874,Y,Details not found
98,174,Alyssa Kaiser,509,Scarf,Accessories,UPI,6,3185.47,2023-07-28 19:21,USA,New York,www.flipkart.com,63486,Y,Details not found
99,658,Charles Pierce,487,Headphones,Electronics,Wallet,18,110.76,2021-07-17 14:38,USA,Los Angeles,www.ebay.in,25463,Y,Details not found
100,856,Luis Fitzgerald,523,Belt,Accessories,Internet Banking,17,1759.27,2023-11-11 15:53,South Africa,Durban,www.tatacliq.com,80634,Y,Details not found
101,692,Richard Martin,764,Dress,Clothing,Internet Banking,7,1297.21,2023-01-28 12:15,India,Bangalore,www.tatacliq.com,45962,N,Invalid CVV
102,605,Steven Johnson,423,Desk Lamp,Accessories,Internet Banking,16,3732.92,2023-04-05 17:56,Australia,Sydney,www.ebay.in,70795,N,Details not found
103,814,Joel Carter,351,Eraser,Stationery,Wallet,20,1013.55,2022-08-21 08:45,Australia,Melbourne,www.tatacliq.com,31921,Y,Details not found
104,781,Brandon Murillo,946,Pants,Clothing,UPI,3,1956.67,2023-01-01 02:41,India,Bangalore,www.amazon.com,40769,Y,Details not found
105,645,Laura Castillo,393,Camera,Electronics,Internet Banking,19,3149.63,2023-06-30 21:18,India,Bangalore,www.ebay.in,72333,N,Invalid CVV
106,322,Jason Moore,227,Tablet,Electronics,Internet Banking,9,2399.44,2022-06-25 22:49,Australia,Sydney,www.amazon.com,21988,Y,Details not found
107,146,Susan Ortega,935,Pen,Stationery,Card,4,2121.6,2021-09-02 09:11,Australia,Brisbane,www.amazon.com,68407,Y,Details not found
108,487,Jeffrey Murphy,537,Water Bottle,Accessories,UPI,8,4497.53,2022-11-16 00:53,South Africa,Johannesburg,www.amazon.com,52998,N,Insufficient funds
109,704,Krista Shannon,450,Headphones,Electronics,Wallet,13,4392.89,2023-05-26 03:15,Australia,Melbourne,www.amazon.com,80984,N,Invalid CVV
110,400,Elizabeth Johnson,247,Eraser,Stationery,Internet Banking,14,1882.55,2023-04-09 07:11,UK,Manchester,www.amazon.com,59024,N,Card expired
111,346,Todd Torres,886,Ruler,Stationery,Internet Banking,16,2596.64,2021-05-14 20:50,USA,Los Angeles,www.tatacliq.com,55179,Y,Details not found
112,519,Garrett Singleton PhD,840,Bluetooth Speaker,Electronics,UPI,5,1574.26,2023-07-18 09:22,South Africa,Cape Town,www.amazon.com,92564,Y,Details not found
113,738,Kurt Lynch,742,Calculator,Accessories,Wallet,3,3230.8,2022-05-15 20:09,Australia,Brisbane,www.ebay.in,92390,N,Insufficient funds
114,309,Albert Norris,256,Water Bottle,Accessories,UPI,18,3005.2,2022-09-01 00:34,South Africa,Johannesburg,www.amazon.com,84975,N,Card expired
115,698,Louis Hansen,655,Desk Lamp,Accessories,Internet Banking,9,2717.56,2022-07-18 14:52,India,Bangalore,www.flipkart.com,15671,N,Invalid CVV
116,781,Edward Sims DVM,272,Jacket,Clothing,Wallet,12,2419.37,2022-01-11 21:24,UK,Manchester,www.flipkart.com,45475,Y,Details not found
117,842,Mrs. Melissa Juarez,937,Marker,Stationery,Internet Banking,4,2570.89,2023-03-01 23:11,Australia,Brisbane,www.tatacliq.com,75539,N,Card expired
118,387,Jennifer Cooper,946,Glue Stick,Stationery,Wallet,8,2298.52,2021-09-21 16:16,Australia,Brisbane,www.tatacliq.com,58688,N,Invalid CVV
119,629,Jennifer Smith MD,382,Desk Lamp,Accessories,UPI,5,919.04,2022-02-01 02:31,UK,Manchester,www.flipkart.com,24297,Y,Details not found
120,875,Keith Garcia,661,Headphones,Electronics,Card,16,3837.91,2022-09-14 10:58,India,Bangalore,www.ebay.in,79815,Y,Details not found
121,750,Shelia Carey,778,Thriller Story,Books,UPI,5,265.08,2023-01-15 10:12,Australia,Sydney,www.amazon.com,67141,N,Insufficient funds
122,548,Jennifer Tran,291,Self-Help,Books,Wallet,10,121.74,2021-07-10 13:52,UK,London,www.flipkart.com,66397,N,Card expired
123,434,Maria Thomas,456,Pants,Clothing,UPI,13,3706.81,2022-10-06 16:21,India,Bangalore,www.amazon.com,96781,N,Card expired
124,670,Amanda Vargas,281,Router,Electronics,Card,3,1204.59,2022-01-31 08:18,Australia,Brisbane,www.flipkart.com,14112,N,Insufficient funds
125,633,Julie Riley,216,Glue Stick,Stationery,UPI,14,1725.67,2022-12-06 20:01,USA,Los Angeles,www.tatacliq.com,55732,Y,Details not found
126,450,Elizabeth Hutchinson,414,Belt,Accessories,Card,16,1067.95,2022-05-02 23:39,USA,Chicago,www.tatacliq.com,79779,N,Details not found
127,149,Matthew Phillips,845,Shirt,Clothing,UPI,19,2449.41,2023-05-16 15:17,Australia,Brisbane,www.tatacliq.com,87743,Y,Details not found
128,255,Charles Johnson,619,Bluetooth Speaker,Electronics,Wallet,3,692.09,2023-04-22 17:23,USA,Los Angeles,www.ebay.in,49414,N,Details not found
129,688,Hannah Silva,485,Glue Stick,Stationery,Card,2,815.84,2023-10-20 18:29,Australia,Melbourne,www.tatacliq.com,90191,N,Card expired
130,393,Cassandra Simmons,727,Laptop,Electronics,Card,16,4651.25,2021-03-21 08:21,South Africa,Durban,www.tatacliq.com,66475,N,Card expired
131,160,Kelly Jackson,778,Backpack,Accessories,Internet Banking,7,1373.5,2023-01-21 04:08,USA,Los Angeles,www.flipkart.com,49747,N,Card expired
132,289,Michael Jones,998,Jacket,Clothing,Card,6,297.2,2022-04-27 22:23,Australia,Sydney,www.amazon.com,46188,Y,Details not found
133,425,William Sanders,310,Skirt,Clothing,Card,9,1698.87,2021-06-07 04:13,South Africa,Johannesburg,www.flipkart.com,71074,Y,Details not found
134,948,Peter Raymond,463,Backpack,Accessories,Internet Banking,2,4199.79,2023-02-27 07:36,Australia,Melbourne,www.flipkart.com,41300,N,Card expired
135,792,Cody Reyes,808,Science Fiction,Books,Internet Banking,4,2896.89,2021-07-27 22:24,India,Bangalore,www.flipkart.com,27755,N,Invalid CVV
136,184,Jeffery Welch,337,Camera,Electronics,Internet Banking,11,2909.62,2022-05-02 08:17,India,Mumbai,www.flipkart.com,86774,Y,Details not found
137,663,Mrs. Amanda Brown,240,Calculator,Accessories,UPI,12,778.66,2023-10-23 07:13,South Africa,Cape Town,www.flipkart.com,20629,Y,Details not found
138,371,Laura Chandler,634,Tablet,Electronics,Internet Banking,9,3401.41,2021-02-05 05:00,South Africa,Johannesburg,www.tatacliq.com,57298,Y,Details not found
139,599,Michelle Rose,807,Comics,Books,Internet Banking,13,14.5,2023-10-22 22:42,India,Bangalore,www.ebay.in,49359,N,Details not found
140,710,Olivia Johnson,348,Eraser,Stationery,Internet Banking,6,332.44,2022-06-12 08:27,UK,London,www.flipkart.com,86397,Y,Details not found
141,475,Donald Nguyen,933,Pencil,Stationery,Wallet,13,3631.79,2023-07-15 18:47,UK,London,www.ebay.in,32709,N,Invalid CVV
142,986,Stephanie Benson,476,Stapler,Stationery,Wallet,2,3443.99,2023-11-11 07:41,South Africa,Durban,www.amazon.com,71718,Y,Details not found
143,234,Bruce Perez,572,Desk Lamp,Accessories,Internet Banking,9,269.11,2021-05-29 01:30,USA,Chicago,www.tatacliq.com,83663,N,Details not found
144,899,Maria Duffy,762,Shirt,Clothing,Wallet,19,1579.28,2023-10-10 17:41,Australia,Melbourne,www.tatacliq.com,57856,N,Insufficient funds
145,924,Mary Williams,208,Ruler,Stationery,Wallet,6,3556.95,2023-08-18 00:54,USA,Chicago,www.ebay.in,97001,N,Invalid CVV
146,966,Justin King,884,Scarf,Accessories,Wallet,13,4695.3,2021-08-26 00:33,South Africa,Cape Town,www.flipkart.com,87203,N,Invalid CVV
147,788,Nicole Olson,795,Router,Electronics,Wallet,20,2436.02,2021-09-20 10:55,UK,London,www.amazon.com,53831,N,Details not found
148,780,Eric Richards,365,Tablet,Electronics,UPI,9,407.54,2021-03-26 13:17,UK,Birmingham,www.flipkart.com,77879,Y,Details not found
149,267,Johnny King,204,Backpack,Accessories,UPI,18,637.16,2021-10-10 10:17,South Africa,Durban,www.tatacliq.com,72096,Y,Details not found
150,210,James Young,865,Trouser,Clothing,Card,18,1661.85,2023-01-09 01:04,USA,New York,www.flipkart.com,42048,Y,Details not found
151,758,Kevin Solomon,887,Trouser,Clothing,Card,9,4318.61,2022-11-18 19:30,India,Mumbai,www.amazon.com,91766,Y,Details not found
152,226,Rebecca Scott,391,Router,Electronics,Card,20,1339.91,2021-02-17 17:20,USA,Los Angeles,www.ebay.in,83555,N,Card expired
153,651,Gabriel Browning,331,Book,Books,Internet Banking,5,1124.84,2021-09-12 06:01,Australia,Brisbane,www.flipkart.com,29295,N,Insufficient funds
154,730,Steven Sandoval,629,Thriller Story,Books,Card,15,1160.61,2023-11-07 14:13,USA,New York,www.amazon.com,48410,N,Insufficient funds
155,349,Patrick Nelson DVM,200,Pen,Stationery,Wallet,13,4658.15,2023-02-09 10:29,South Africa,Johannesburg,www.ebay.in,11303,Y,Details not found
156,362,Jeremy Morris,778,Sweater,Clothing,Internet Banking,13,3745.76,2022-08-05 06:11,UK,London,www.flipkart.com,68888,N,Details not found
157,777,Amber Pruitt,319,Skirt,Clothing,Wallet,5,4511.7,2021-02-10 20:17,Australia,Melbourne,www.ebay.in,70299,N,Invalid CVV
158,753,Karen Mason,208,Scarf,Accessories,Card,16,697.06,2023-07-09 23:13,UK,Birmingham,www.ebay.in,91300,Y,Details not found
159,749,Elizabeth Bright,762,Laptop,Electronics,UPI,5,563.5,2023-01-23 13:12,UK,London,www.tatacliq.com,86937,Y,Details not found
160,510,Carla Robinson,748,Skirt,Clothing,Wallet,14,4417.82,2022-12-21 16:25,UK,London,www.tatacliq.com,11474,Y,Details not found
161,743,Lance Myers,828,Sunglasses,Accessories,Internet Banking,15,861.64,2023-02-18 11:14,India,Chennai,www.tatacliq.com,54195,N,Invalid CVV
162,988,Gina Fisher,722,Headphones,Electronics,UPI,6,1577.42,2021-03-23 04:39,South Africa,Johannesburg,www.ebay.in,43410,Y,Details not found
163,734,Henry Moon PhD,781,Jacket,Clothing,UPI,15,2424.04,2022-02-14 04:13,USA,Los Angeles,www.tatacliq.com,54474,Y,Details not found
164,851,Michael Greene,693,Camera,Electronics,UPI,17,556.31,2022-05-02 02:09,UK,Manchester,www.amazon.com,74985,N,Insufficient funds
165,453,Brian Bailey,488,Biography,Books,Card,11,2669.17,2023-10-25 23:58,India,Chennai,www.flipkart.com,14200,N,Card expired
166,575,Kevin Irwin,552,Sunglasses,Accessories,Internet Banking,7,1928.15,2023-08-04 13:02,Australia,Melbourne,www.flipkart.com,65587,N,Invalid CVV
167,572,Michelle Davis,719,Stapler,Stationery,Wallet,18,4899.7,2021-06-27 21:35,India,Chennai,www.amazon.com,42254,N,Invalid CVV
168,358,Jonathan Jackson,635,Camera,Electronics,Internet Banking,14,3231.25,2023-11-08 23:20,South Africa,Durban,www.ebay.in,86725,Y,Details not found
169,621,Tony Powers,961,Cookbook,Books,Card,14,1316.81,2021-11-28 16:09,India,Mumbai,www.amazon.com,39225,N,Details not found
170,951,Brooke Williams,468,Stapler,Stationery,Card,11,1055.65,2023-07-26 04:11,UK,Birmingham,www.ebay.in,53605,Y,Details not found
171,448,Kurt Barrera,897,Desk Lamp,Accessories,Internet Banking,14,4544.41,2022-01-09 20:27,UK,Birmingham,www.flipkart.com,32086,Y,Details not found
172,326,Randy Proctor,323,Glue Stick,Stationery,UPI,18,572.16,2022-06-18 12:57,India,Mumbai,www.amazon.com,95364,Y,Details not found
173,802,John Larsen,569,Router,Electronics,UPI,8,2059.42,2021-06-19 19:39,Australia,Sydney,www.ebay.in,80684,Y,Details not found
174,269,Alicia Burns,333,Biography,Books,Wallet,8,696.83,2022-05-03 03:16,USA,Los Angeles,www.amazon.com,57897,Y,Details not found
175,304,Timothy Sullivan,943,Dress,Clothing,Internet Banking,16,2342.97,2022-10-20 06:18,India,Mumbai,www.amazon.com,16578,Y,Details not found
176,946,Adrian Hernandez,237,Eraser,Stationery,UPI,16,3973.14,2023-10-28 22:58,India,Chennai,www.tatacliq.com,56687,N,Invalid CVV
177,880,Eric Shea,544,Self-Help,Books,Wallet,18,1505.99,2021-04-11 09:24,India,Mumbai,www.amazon.com,62653,N,Details not found
178,523,Emma Matthews,284,Cookbook,Books,Internet Banking,16,2990.97,2022-03-14 15:36,UK,London,www.tatacliq.com,23277,Y,Details not found
179,460,Vicki Brooks,200,Self-Help,Books,Card,17,2209.58,2023-01-26 05:39,Australia,Brisbane,www.amazon.com,55831,Y,Details not found
180,510,Gary Shepherd,903,Glue Stick,Stationery,Wallet,19,3596.81,2023-12-09 23:36,India,Bangalore,www.amazon.com,93412,N,Details not found
181,399,Jonathan Ibarra,597,Skirt,Clothing,Wallet,8,1461.7,2023-01-06 13:14,UK,Birmingham,www.tatacliq.com,27596,N,Invalid CVV
182,472,Andrew Romero,890,Calculator,Accessories,UPI,2,2017.97,2023-01-07 13:53,Australia,Sydney,www.amazon.com,81372,N,Details not found
